timestamp,generation
2022-01-01 00:10:00,0
2022-01-01 01:10:00,0
2022-01-01 02:10:00,0
2022-01-01 03:10:00,0
2022-01-01 04:10:00,0
2022-01-01 05:10:00,0
2022-01-01 06:10:00,0
2022-01-01 07:10:00,0
2022-01-01 08:10:00,262.2
2022-01-01 09:10:00,9447.6
2022-01-01 10:10:00,12389
2022-01-01 11:10:00,13737.6
2022-01-01 12:10:00,13530.6
2022-01-01 13:10:00,12622.8
2022-01-01 14:10:00,10676
2022-01-01 15:10:00,7336.4
2022-01-01 16:10:00,24.8
2022-01-01 17:10:00,0
2022-01-01 18:10:00,0
2022-01-01 19:10:00,0
2022-01-01 20:10:00,0
2022-01-01 21:10:00,0
2022-01-01 22:10:00,0
2022-01-01 23:10:00,0
2022-01-02 00:10:00,0
2022-01-02 01:10:00,0
2022-01-02 02:10:00,0
2022-01-02 03:10:00,0
2022-01-02 04:10:00,0
2022-01-02 05:10:00,0
2022-01-02 06:10:00,0
2022-01-02 07:10:00,0
2022-01-02 08:10:00,381.6
2022-01-02 09:10:00,6978.2
2022-01-02 10:10:00,9648.6
2022-01-02 11:10:00,10785
2022-01-02 12:10:00,13051.2
2022-01-02 13:10:00,8311.6
2022-01-02 14:10:00,6777
2022-01-02 15:10:00,1533.2
2022-01-02 16:10:00,9.8
2022-01-02 17:10:00,0
2022-01-02 18:10:00,0
2022-01-02 19:10:00,0
2022-01-02 20:10:00,0
2022-01-02 21:10:00,0
2022-01-02 22:10:00,0
2022-01-02 23:10:00,0
2022-01-03 00:10:00,0
2022-01-03 01:10:00,0
2022-01-03 02:10:00,0
2022-01-03 03:10:00,0
2022-01-03 04:10:00,0
2022-01-03 05:10:00,0
2022-01-03 06:10:00,0
2022-01-03 07:10:00,0
2022-01-03 08:10:00,420.2
2022-01-03 09:10:00,8578.6
2022-01-03 10:10:00,10881.4
2022-01-03 11:10:00,13160.4
2022-01-03 12:10:00,12615.8
2022-01-03 13:10:00,10226.4
2022-01-03 14:10:00,7019
2022-01-03 15:10:00,6372.4
2022-01-03 16:10:00,10
2022-01-03 17:10:00,0
2022-01-03 18:10:00,0
2022-01-03 19:10:00,0
2022-01-03 20:10:00,0
2022-01-03 21:10:00,0
2022-01-03 22:10:00,0
2022-01-03 23:10:00,0
2022-01-04 00:10:00,0
2022-01-04 01:10:00,0
2022-01-04 02:10:00,0
2022-01-04 03:10:00,0
2022-01-04 04:10:00,0
2022-01-04 05:10:00,0
2022-01-04 06:10:00,0
2022-01-04 07:10:00,0
2022-01-04 08:10:00,405.8
2022-01-04 09:10:00,4982
2022-01-04 10:10:00,7734.4
2022-01-04 11:10:00,12491.8
2022-01-04 12:10:00,12131.2
2022-01-04 13:10:00,9612.4
2022-01-04 14:10:00,11211.8
2022-01-04 15:10:00,6652.2
2022-01-04 16:10:00,51.2
2022-01-04 17:10:00,0
2022-01-04 18:10:00,0
2022-01-04 19:10:00,0
2022-01-04 20:10:00,0
2022-01-04 21:10:00,0
2022-01-04 22:10:00,0
2022-01-04 23:10:00,0
2022-01-05 00:10:00,0
2022-01-05 01:10:00,0
2022-01-05 02:10:00,0
2022-01-05 03:10:00,0
2022-01-05 04:10:00,0
2022-01-05 05:10:00,0
2022-01-05 06:10:00,0
2022-01-05 07:10:00,0
2022-01-05 08:10:00,457.4
2022-01-05 09:10:00,2972.4
2022-01-05 10:10:00,12463.4
2022-01-05 11:10:00,14271.6
2022-01-05 12:10:00,14189.4
2022-01-05 13:10:00,6776.2
2022-01-05 14:10:00,6368.6
2022-01-05 15:10:00,7691.8
2022-01-05 16:10:00,0
2022-01-05 17:10:00,0
2022-01-05 18:10:00,0
2022-01-05 19:10:00,0
2022-01-05 20:10:00,0
2022-01-05 21:10:00,0
2022-01-05 22:10:00,0
2022-01-05 23:10:00,0
2022-01-06 00:10:00,0
2022-01-06 01:10:00,0
2022-01-06 02:10:00,0
2022-01-06 03:10:00,0
2022-01-06 04:10:00,0
2022-01-06 05:10:00,0
2022-01-06 06:10:00,0
2022-01-06 07:10:00,0
2022-01-06 08:10:00,232
2022-01-06 09:10:00,10389.8
2022-01-06 10:10:00,13463
2022-01-06 11:10:00,14755.2
2022-01-06 12:10:00,15188
2022-01-06 13:10:00,13987.4
2022-01-06 14:10:00,11746
2022-01-06 15:10:00,8332.2
2022-01-06 16:10:00,35.6
2022-01-06 17:10:00,0
2022-01-06 18:10:00,0
2022-01-06 19:10:00,0
2022-01-06 20:10:00,0
2022-01-06 21:10:00,0
2022-01-06 22:10:00,0
2022-01-06 23:10:00,0
2022-01-07 00:10:00,0
2022-01-07 01:10:00,0
2022-01-07 02:10:00,0
2022-01-07 03:10:00,0
2022-01-07 04:10:00,0
2022-01-07 05:10:00,0
2022-01-07 06:10:00,0
2022-01-07 07:10:00,0
2022-01-07 08:10:00,244.4
2022-01-07 09:10:00,10005
2022-01-07 10:10:00,12975.4
2022-01-07 11:10:00,14237.8
2022-01-07 12:10:00,14613.4
2022-01-07 13:10:00,13604.2
2022-01-07 14:10:00,11505
2022-01-07 15:10:00,8092.6
2022-01-07 16:10:00,54
2022-01-07 17:10:00,0
2022-01-07 18:10:00,0
2022-01-07 19:10:00,0
2022-01-07 20:10:00,0
2022-01-07 21:10:00,0
2022-01-07 22:10:00,0
2022-01-07 23:10:00,0
2022-01-08 00:10:00,0
2022-01-08 01:10:00,0
2022-01-08 02:10:00,0
2022-01-08 03:10:00,0
2022-01-08 04:10:00,0
2022-01-08 05:10:00,0
2022-01-08 06:10:00,0
2022-01-08 07:10:00,0
2022-01-08 08:10:00,428.2
2022-01-08 09:10:00,4648.8
2022-01-08 10:10:00,4654.4
2022-01-08 11:10:00,3109.8
2022-01-08 12:10:00,6295
2022-01-08 13:10:00,13410
2022-01-08 14:10:00,11183.4
2022-01-08 15:10:00,6872.2
2022-01-08 16:10:00,0
2022-01-08 17:10:00,0
2022-01-08 18:10:00,0
2022-01-08 19:10:00,0
2022-01-08 20:10:00,0
2022-01-08 21:10:00,0
2022-01-08 22:10:00,0
2022-01-08 23:10:00,0
2022-01-09 00:10:00,0
2022-01-09 01:10:00,0
2022-01-09 02:10:00,0
2022-01-09 03:10:00,0
2022-01-09 04:10:00,0
2022-01-09 05:10:00,0
2022-01-09 06:10:00,0
2022-01-09 07:10:00,0
2022-01-09 08:10:00,357.2
2022-01-09 09:10:00,8497.2
2022-01-09 10:10:00,12830
2022-01-09 11:10:00,12046.2
2022-01-09 12:10:00,13944.8
